class,precision,recall,f1-score,support
apple_pie,0.8333333333333334,0.04,0.07633587786259542,250.0
baby_back_ribs,0.9152542372881356,0.216,0.34951456310679613,250.0
baklava,0.9343065693430657,0.512,0.661498708010336,250.0
beef_carpaccio,0.9565217391304348,0.44,0.6027397260273972,250.0
beef_tartare,0.8928571428571429,0.1,0.17985611510791366,250.0
beet_salad,0.9074074074074074,0.196,0.3223684210526316,250.0
beignets,0.8620689655172413,0.6,0.7075471698113207,250.0
bibimbap,0.9917355371900827,0.48,0.6469002695417789,250.0
bread_pudding,0.8333333333333334,0.12,0.2097902097902098,250.0
breakfast_burrito,0.9024390243902439,0.148,0.2542955326460481,250.0
bruschetta,0.9032258064516129,0.112,0.199288256227758,250.0
caesar_salad,0.8580645161290322,0.532,0.6567901234567901,250.0
cannoli,0.9864864864864865,0.292,0.4506172839506173,250.0
caprese_salad,0.8444444444444444,0.304,0.4470588235294118,250.0
carrot_cake,0.8703703703703703,0.188,0.3092105263157895,250.0
ceviche,0.75,0.06,0.1111111111111111,250.0
cheesecake,0.9230769230769231,0.096,0.17391304347826086,250.0
cheese_plate,0.9803921568627451,0.2,0.33222591362126247,250.0
chicken_curry,0.96,0.096,0.17454545454545456,250.0
chicken_quesadilla,0.9166666666666666,0.264,0.40993788819875776,250.0
chicken_wings,0.974025974025974,0.3,0.45871559633027525,250.0
chocolate_cake,0.8,0.096,0.17142857142857143,250.0
chocolate_mousse,0.8333333333333334,0.06,0.11194029850746269,250.0
churros,0.9327731092436975,0.444,0.6016260162601627,250.0
clam_chowder,0.90625,0.58,0.7073170731707317,250.0
club_sandwich,0.8741258741258742,0.5,0.6361323155216285,250.0
crab_cakes,0.9444444444444444,0.068,0.12686567164179105,250.0
creme_brulee,0.9453125,0.484,0.6402116402116402,250.0
croque_madame,0.9464285714285714,0.424,0.585635359116022,250.0
cup_cakes,0.8706896551724138,0.404,0.5519125683060109,250.0
deviled_eggs,0.9612403100775194,0.496,0.6543535620052771,250.0
donuts,0.8723404255319149,0.328,0.47674418604651164,250.0
dumplings,0.9558823529411765,0.78,0.8590308370044053,250.0
edamame,0.9916666666666667,0.952,0.9714285714285714,250.0
eggs_benedict,0.9716981132075472,0.412,0.5786516853932584,250.0
escargots,0.9545454545454546,0.504,0.6596858638743456,250.0
falafel,0.9577464788732394,0.272,0.4236760124610592,250.0
filet_mignon,0.42857142857142855,0.012,0.023346303501945526,250.0
fish_and_chips,0.9716981132075472,0.412,0.5786516853932584,250.0
foie_gras,0.9090909090909091,0.04,0.07662835249042145,250.0
french_fries,0.9652777777777778,0.556,0.7055837563451777,250.0
french_onion_soup,0.923728813559322,0.436,0.592391304347826,250.0
french_toast,0.8571428571428571,0.072,0.13284132841328414,250.0
fried_calamari,0.9375,0.3,0.45454545454545453,250.0
fried_rice,0.9565217391304348,0.264,0.41379310344827586,250.0
frozen_yogurt,0.9135135135135135,0.676,0.7770114942528735,250.0
garlic_bread,0.8703703703703703,0.376,0.5251396648044693,250.0
gnocchi,0.8235294117647058,0.224,0.3522012578616352,250.0
greek_salad,0.8189655172413793,0.38,0.5191256830601093,250.0
grilled_cheese_sandwich,0.7017543859649122,0.32,0.43956043956043955,250.0
grilled_salmon,0.9047619047619048,0.076,0.14022140221402213,250.0
guacamole,0.9452054794520548,0.552,0.696969696969697,250.0
gyoza,0.853448275862069,0.396,0.5409836065573771,250.0
hamburger,0.86,0.344,0.49142857142857144,250.0
hot_and_sour_soup,0.9319371727748691,0.712,0.8072562358276644,250.0
hot_dog,0.7582938388625592,0.64,0.6941431670281996,250.0
huevos_rancheros,0.6494845360824743,0.252,0.3631123919308357,250.0
hummus,0.7388535031847133,0.464,0.5700245700245701,250.0
ice_cream,0.6220472440944882,0.632,0.626984126984127,250.0
lasagna,0.6887417218543046,0.416,0.5187032418952618,250.0
lobster_bisque,0.729957805907173,0.692,0.7104722792607803,250.0
lobster_roll_sandwich,0.8040201005025126,0.64,0.7126948775055679,250.0
macaroni_and_cheese,0.6101083032490975,0.676,0.6413662239089184,250.0
macarons,0.7625418060200669,0.912,0.8306010928961749,250.0
miso_soup,0.7822878228782287,0.848,0.8138195777351248,250.0
mussels,0.9146919431279621,0.772,0.8373101952277657,250.0
nachos,0.50625,0.648,0.5684210526315789,250.0
omelette,0.5287356321839081,0.552,0.5401174168297456,250.0
onion_rings,0.555,0.888,0.683076923076923,250.0
oysters,0.8674698795180723,0.864,0.8657314629258517,250.0
pad_thai,0.8075313807531381,0.772,0.7893660531697342,250.0
paella,0.7169811320754716,0.608,0.658008658008658,250.0
pancakes,0.5157068062827225,0.788,0.6234177215189873,250.0
panna_cotta,0.576036866359447,0.5,0.5353319057815846,250.0
peking_duck,0.5168539325842697,0.736,0.6072607260726073,250.0
pho,0.8014705882352942,0.872,0.8352490421455939,250.0
pizza,0.6634304207119741,0.82,0.7334525939177102,250.0
pork_chop,0.2953216374269006,0.404,0.34121621621621623,250.0
poutine,0.6847457627118644,0.808,0.7412844036697248,250.0
prime_rib,0.6816608996539792,0.788,0.7309833024118738,250.0
pulled_pork_sandwich,0.4444444444444444,0.736,0.5542168674698795,250.0
ramen,0.5871559633027523,0.768,0.6655112651646448,250.0
ravioli,0.3176229508196721,0.62,0.42005420054200543,250.0
red_velvet_cake,0.45208333333333334,0.868,0.5945205479452055,250.0
risotto,0.36796536796536794,0.68,0.47752808988764045,250.0
samosa,0.5616883116883117,0.692,0.6200716845878136,250.0
sashimi,0.7016393442622951,0.856,0.7711711711711712,250.0
scallops,0.4375,0.588,0.5017064846416383,250.0
seaweed_salad,0.6335227272727273,0.892,0.7408637873754153,250.0
shrimp_and_grits,0.41919191919191917,0.664,0.5139318885448917,250.0
spaghetti_bolognese,0.708904109589041,0.828,0.7638376383763837,250.0
spaghetti_carbonara,0.6638176638176638,0.932,0.7753743760399334,250.0
spring_rolls,0.47368421052631576,0.792,0.592814371257485,250.0
steak,0.2186046511627907,0.752,0.3387387387387387,250.0
strawberry_shortcake,0.2294238683127572,0.892,0.3649754500818331,250.0
sushi,0.4722222222222222,0.748,0.5789473684210527,250.0
tacos,0.15639097744360902,0.832,0.26329113924050634,250.0
takoyaki,0.42105263157894735,0.896,0.5728900255754475,250.0
tiramisu,0.15250836120401337,0.912,0.26131805157593124,250.0
tuna_tartare,0.1483221476510067,0.884,0.2540229885057471,250.0
waffles,0.13631156930126,0.952,0.23847695390781562,250.0
accuracy,0.5150891089108911,0.5150891089108911,0.5150891089108911,0.5150891089108911
macro avg,0.7402949102320162,0.5150891089108911,0.5167821039499778,25250.0
weighted avg,0.7402949102320165,0.5150891089108911,0.5167821039499779,25250.0
